rank,name,city_state,city,state,acceptance_rate,price,SAT_range,SAT_low,SAT_high,region
215,Franklin & Marshall College,"Lancaster, PA",Lancaster,PA,37,28038,1200-1420,1200,1420,Mid East
216,Ouachita Baptist University,"Arkadelphia, AR",Arkadelphia,AR,62,20534,1060-1250,1060,1250,Southeast
217,Temple University,"Philadelphia, PA",Philadelphia,PA,71,23254,1010-1230,1010,1230,Mid East
218,Rollins College,"Winter Park, FL",Winter Park,FL,61,33216,1100-1290,1100,1290,Southeast
219,"University of Maryland, Baltimore County","Baltimore, MD",Baltimore,MD,69,16868,1150-1350,1150,1350,Mid East
220,University of Texas - Dallas,"Richardson, TX",Richardson,TX,79,11185,1220-1450,1220,1450,Southwest
221,Hendrix College,"Conway, AR",Conway,AR,71,20778,1150-1360,1150,1360,Southeast
222,Illinois Wesleyan University,"Bloomington, IL",Bloomington,IL,57,32545,1100-1300,1100,1300,Great Lakes
223,University of Kentucky,"Lexington, KY",Lexington,KY,96,19831,1070-1280,1070,1280,Southeast
224,Louisiana Tech University,"Ruston, LA",Ruston,LA,64,11630,1060-1260,1060,1260,Southeast
225,Colorado State University,"Fort Collins, CO",Fort Collins,CO,84,17609,1070-1280,1070,1280,Rocky Mountains
226,Thomas Jefferson University,"Philadelphia, PA",Philadelphia,PA,70,29255,1090-1270,1090,1270,Mid East
227,"Stony Brook University, SUNY","Stony Brook, NY",Stony Brook,NY,49,16478,1230-1440,1230,1440,Mid East
228,Marquette University,"Milwaukee, WI",Milwaukee,WI,82,34732,1160-1340,1160,1340,Great Lakes
229,University of Illinois Chicago,"Chicago, IL",Chicago,IL,73,12614,1030-1250,1030,1250,Great Lakes
230,West Virginia University,"Morgantown, WV",Morgantown,WV,84,13087,1030-1230,1030,1230,Southeast
231,University of Tennessee,"Knoxville, TN",Knoxville,TN,78,21133,1140-1320,1140,1320,Southeast
232,University of Houston,"Houston, TX",Houston,TX,63,14480,1120-1310,1120,1310,Southwest
233,The College of New Jersey,"Ewing, NJ",Ewing,NJ,51,24617,1140-1320,1140,1320,Mid East
234,Ohio University,"Athens, OH",Athens,OH,87,23307,1050-1250,1050,1250,Great Lakes
235,Hope College,"Holland, MI",Holland,MI,78,30320,1130-1330,1130,1330,Great Lakes
236,Moody Bible Institute,"Chicago, IL",Chicago,IL,98,18790,990-1200,990,1200,Great Lakes
